-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.024,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.091,  0.247
-183.798, 80.189, 0.167,  0.280
-183.796, 80.181, 0.250,  0.313
-183.793, 80.170, 0.347,  0.346
-183.791, 80.157, 0.370,  0.379
-183.788, 80.141, 0.489,  0.412
-183.784, 80.122, 0.565,  0.445
-183.779, 80.100, 0.667,  0.478
-183.774, 80.075, 0.789,  0.511
-183.768, 80.046, 0.881,  0.544
-183.762, 80.015, 0.971,  0.577
-183.755, 79.981, 1.006,  0.610
-183.748, 79.945, 1.129,  0.643
-183.741, 79.906, 1.169,  0.676
-183.734, 79.867, 1.181,  0.709
-183.727, 79.828, 1.191,  0.742
-183.720, 79.789, 1.199,  0.775
-183.713, 79.750, 1.206,  0.808
-183.706, 79.710, 1.211,  0.841
-183.699, 79.671, 1.215,  0.874
-183.692, 79.631, 1.219,  0.907
-183.685, 79.591, 1.222,  0.940
-183.678, 79.551, 1.224,  0.973
-183.671, 79.511, 1.226,  1.006
-183.664, 79.470, 1.228,  1.039
-183.657, 79.430, 1.229,  1.072
-183.650, 79.390, 1.231,  1.105
-183.642, 79.349, 1.233,  1.138
-183.635, 79.309, 1.236,  1.171
-183.628, 79.268, 1.239,  1.204
-183.621, 79.227, 1.242,  1.237
-183.614, 79.187, 1.245,  1.270
-183.606, 79.146, 1.249,  1.303
-183.599, 79.104, 1.254,  1.336
-183.592, 79.063, 1.258,  1.369
-183.584, 79.022, 1.263,  1.402
-183.577, 78.980, 1.269,  1.435
-183.570, 78.938, 1.274,  1.468
-183.562, 78.896, 1.280,  1.501
-183.555, 78.854, 1.286,  1.534
-183.548, 78.811, 1.292,  1.567
-183.540, 78.769, 1.299,  1.600
-183.533, 78.726, 1.305,  1.633
-183.525, 78.683, 1.312,  1.666
-183.518, 78.639, 1.318,  1.699
-183.511, 78.596, 1.325,  1.732
